Line_X,Line_Y,Upper_X,Upper_Y,Lower_X,Lower_Y
-3.688786931,13.56446451,-3.756609254,28.63485838,-3.780863227,5.21895177
-3.254990472,15.20914658,-3.364716112,30.67082308,-3.381976949,7.255841489
-2.695095554,18.45780993,-2.874697057,34.30706899,-2.850165578,9.707139289
-2.232993543,22.4871885,-2.356538953,39.13751318,-2.304367935,12.16028713
-1.728932714,26.52211718,-1.824450077,43.57297467,-1.632582835,15.42375076
-1.224982887,29.76338039,-1.222207833,49.6050173,-0.834643776,20.68802842
-0.720755555,34.98880728,-0.703716722,56.81645792,-0.162359166,27.5229867
-0.1743474,41.80711524,-0.157142064,64.82526409,0.411966033,33.94816199
0.386269032,50.21460418,0.30562596,73.61663552,0.986457736,41.56383549
1.059219655,61.81155533,0.726546168,83.19612232,1.574991212,49.57819177
1.550126727,71.79712504,1.232216528,98.73920041,2.07949605,56.78778236
1.94307439,81.37291177,1.668122028,115.4635265,2.654154256,65.59395408
2.350174828,92.14104675,2.076276987,133.7714835,3.172978373,75.18639113
2.785747322,106.4843764,2.470945183,155.6490852,3.733761308,84.7843783
3.235528093,122.4168871,2.922668492,185.4707417,4.280724474,95.57101363
3.601169223,136.7509666,3.276376889,214.4857825,4.540192034,100.7640649
3.93894881,151.8750116,3.616321018,245.0863042,,
4.185484617,164.6060348,3.900986069,280.4414186,,
4.467430115,180.5163451,4.171054336,311.4295229,,
,,4.363365586,336.4549609,,
,,4.520766655,361.8726065,,